id,survey_concept_id,question_concept_id,survey_order_number,question_order_number,"path",sub
1,1586134,1586135,1,1,"1586135",0
2,1586134,1586140,1,2,"1586140",0
4,1586134,1586151,1,2,"1586140.1586142.1586151",1
5,1586134,1586152,1,2,"1586140.1586143.1586152",1
6,1586134,1586156,1,2,"1586140.1586147.1586156",1
9,1586134,1586155,1,2,"1586140.1586146.1586155",1
10,1586134,1585845,1,3,"1585845",0
11,1586134,1585838,1,4,"1585838",0
12,1586134,1585348,1,4,"1585838.1585841.1585348",1
13,1586134,1585348,1,4,"1585838.1585842.1585348",1
14,1586134,1585348,1,4,"1585838.1585843.1585348",1
15,1586134,1585899,1,5,"1585899",0
16,1586134,1585357,1,5,"1585899.1585904.1585357",1
17,1586134,1585940,1,6,"1585940",0
18,1586134,1585852,1,7,"1585852",0
19,1586134,1585892,1,8,"1585892",0
22,1586134,1585386,1,9,"1585386",0
23,1586134,43528428,1,9,"1585386.1585387.43528428",1
24,1586134,1585952,1,10,"1585952",0
25,1586134,1585375,1,11,"1585375",0
26,1586134,1585370,1,12,"1585370",0
27,1586134,1585402,1,12,"1585370.1585373.1585402",1
28,1586134,1585879,1,13,"1585879",0
29,1586134,1585886,1,14,"1585886",0
30,1585710,1585766,2,1,"1585766",0
31,1585710,1585772,2,2,"1585772",0
32,1585710,1585778,2,3,"1585778",0
33,1585710,1585711,2,4,"1585711",0
34,1585710,1585717,2,5,"1585717",0
35,1585710,1585723,2,6,"1585723",0
36,1585710,1585729,2,7,"1585729",0
37,1585710,1585735,2,8,"1585735",0
38,1585710,1585741,2,9,"1585741",0
39,1585710,1585747,2,10,"1585747",0
40,1585710,1585748,2,11,"1585748",0
41,1585710,1585754,2,12,"1585754",0
42,1585710,1585760,2,13,"1585760",0
43,1585710,1585784,2,14,"1585784",0
44,1585710,1585811,2,14,"1585784.1585785.1585811",1
45,1585710,1585811,2,14,"1585784.1585788.1585811",1
46,1585710,1585789,2,14,"1585784.1585786.1585789",1
47,1585710,1585789,2,14,"1585784.1585787.1585789",1
48,1585710,1585791,2,14,"1585784.1585786.1585791",1
50,1585710,1585796,2,14,"1585784.1585786.1585791.1585792.1585796",1
51,1585710,1585796,2,14,"1585784.1585786.1585791.1585794.1585796",1
52,1585710,1585796,2,14,"1585784.1585786.1585791.903079.1585796",1
56,1585710,1585803,2,15,"1585803",0
57,1585710,1585806,2,15,"1585803.1585804.1585806",1
58,1585710,1585815,2,16,"1585815",0
59,1585855,1585857,3,1,"1585857",0
60,1585855,1585860,3,1,"1585857.1585858.1585860",1
62,1585855,1585867,3,1,"1585857.1585858.1585867",1
67,1585855,1586166,3,2,"1586166",0
68,1585855,1586169,3,2,"1586166.1586167.1586169",1
69,1585855,1586174,3,3,"1586174",0
70,1585855,1586177,3,3,"1586174.1586175.1586177",1
71,1585855,1586182,3,4,"1586182",0
72,1585855,1586185,3,4,"1586182.1586183.1586185",1
73,1585855,1586190,3,5,"1586190",0
74,1585855,1586193,3,5,"1586190.1586191.1586193",1
75,1585855,1586198,3,6,"1586198",0
76,1585855,1586201,3,6,"1586198.1586199.1586201",1
77,1585855,1586207,3,6,"1586198.1586199.1586201.1586203.1586207",1
78,1585855,1586207,3,6,"1586198.1586199.1586201.1586204.1586207",1
79,1585855,1586207,3,6,"1586198.1586199.1586201.1586205.1586207",1
80,1585855,1586207,3,6,"1586198.1586199.1586201.1586206.1586207",1
81,1585855,1586213,3,6,"1586198.1586199.1586201.1586203.1586213",1
82,1585855,1586213,3,6,"1586198.1586199.1586201.1586204.1586213",1
83,1585855,1586213,3,6,"1586198.1586199.1586201.1586205.1586213",1
84,1585855,1586213,3,6,"1586198.1586199.1586201.1586206.1586213",1
85,1585855,1585636,3,7,"1585636",0
86,1585855,1585650,3,7,"1585636.1585637.1585650",1
87,1585855,1585656,3,7,"1585636.1585638.1585656",1
88,1585855,1585662,3,7,"1585636.1585639.1585662",1
89,1585855,1585668,3,7,"1585636.1585640.1585668",1
90,1585855,1585674,3,7,"1585636.1585641.1585674",1
91,1585855,1585680,3,7,"1585636.1585642.1585656",1
92,1585855,1585686,3,7,"1585636.1585643.1585656",1
93,1585855,1585692,3,7,"1585636.1585644.1585656",1
94,1585855,1585698,3,7,"1585636.1585645.1585656",1
95,1585855,1585704,3,7,"1585636.1585646.1585656",1
96,43529712,1384522,4,1,"1384522",0
97,43529712,43530302,4,1,"1384522.43528401.43530302",1
98,43529712,43530461,4,1,"1384522.43528401.43530461",1
99,43529712,43528786,4,1,"1384522.43528401.43528786",1
100,43529712,43530303,4,1,"1384522.43528442.43530303",1
101,43529712,43530414,4,1,"1384522.43528442.43530414",1
102,43529712,43528787,4,1,"1384522.43528442.43528787",1
103,43529712,43530304,4,1,"1384522.1384512.43530304",1
104,43529712,43530462,4,1,"1384522.1384512.43530462",1
105,43529712,43528788,4,1,"1384522.1384512.43528788",1
106,43529712,43530305,4,1,"1384522.43528580.43530305",1
107,43529712,43530463,4,1,"1384522.43528580.43530463",1
108,43529712,4352878,4,1,"1384522.43528580.43528789",1
109,43529712,43530306,4,1,"1384522.1384497.43530306",1
110,43529712,43530464,4,1,"1384522.1384497.43530464",1
111,43529712,43528790,4,1,"1384522.1384497.43528790",1
112,43529712,43530307,4,1,"1384522.43528910.43530307",1
113,43529712,43530465,4,1,"1384522.43528910.43530465",1
114,43529712,43528791,4,1,"1384522.43528910.43528791",1
115,43529712,43530308,4,1,"1384522.43528918.43530308",1
116,43529712,43530466,4,1,"1384522.43528918.43530466",1
117,43529712,43528792,4,1,"1384522.43528918.43528792",1
118,43529712,43530309,4,1,"1384522.43528936.43530309",1
119,43529712,43530467,4,1,"1384522.43528936.43530467",1
120,43529712,43528793,4,1,"1384522.43528936.43528793",1
121,43529712,43530310,4,1,"1384522.43529063.43530310",1
122,43529712,43530468,4,1,"1384522.43529063.43530468",1
123,43529712,1384437,4,1,"1384522.43529063.1384437",1
124,43529712,43530311,4,1,"1384522.1384469.43530311",1
125,43529712,1384448,4,1,"1384522.1384469.43530311",1
126,43529712,43528795,4,1,"1384522.1384469.43530311",1
127,43529712,43530312,4,1,"1384522.43529748.43530312",1
128,43529712,43530469,4,1,"1384522.43529748.43530469",1
129,43529712,43528796,4,1,"1384522.43529748.43528796",1
130,43529712,43530313,4,1,"1384522.1384467.43530313",1
131,43529712,43530470,4,1,"1384522.1384467.43530470",1
132,43529712,43528797,4,1,"1384522.1384467.43528797",1
133,43529712,43530314,4,1,"1384522.43529874.43530314",1
134,43529712,43530471,4,1,"1384522.43529874.43530471",1
